driver_id,archetype,driver_age,vehicle_value,annual_mileage,hard_braking_per_100mi,rapid_accel_per_100mi,speeding_pct,phone_distraction_min_hr,harsh_cornering_per_100mi,night_driving_pct,driving_score,risk_tier,traditional_premium,dynamic_ubi_premium,annual_savings,discount_pct,has_claim,claim_amount
DRV-1147,Safe Commuter,40,46248.0,12175.0,0.91,0.51,2.1,1.1,0.6,2.8,99.8,Elite Safe (Top 15%),1789.91,1284.09,505.82,28.3,0,0.0
DRV-1148,Night Shift Worker,45,37534.0,15213.0,2.1,1.99,4.1,1.6,1.77,52.3,81.9,Low Risk (Preferred),1562.77,1420.3,142.47,9.1,0,0.0
DRV-1149,Low-Mileage Weekend Driver,33,26923.0,5243.0,1.68,0.95,5.8,1.6,1.3,7.1,92.0,Elite Safe (Top 15%),1259.22,865.48,393.74,31.3,0,0.0
DRV-1150,Safe Commuter,56,28361.0,11078.0,0.81,0.71,1.5,1.6,0.46,6.9,97.8,Elite Safe (Top 15%),1302.53,929.11,373.42,28.7,0,0.0
DRV-1151,Distracted Urbanite,37,29524.0,12808.0,4.55,3.57,10.7,9.0,2.74,10.9,54.2,Elevated Risk (Substandard),1337.01,1419.68,-82.67,-6.2,0,0.0
DRV-1152,Safe Commuter,38,44372.0,13067.0,1.33,1.05,1.7,0.5,1.0,4.3,98.1,Elite Safe (Top 15%),1742.37,1297.21,445.16,25.5,0,0.0
DRV-1153,Safe Commuter,53,37628.0,11527.0,1.36,0.59,2.2,0.3,0.6,6.4,97.6,Elite Safe (Top 15%),1565.32,1130.56,434.76,27.8,0,0.0
DRV-1154,Low-Mileage Weekend Driver,38,23840.0,5008.0,2.04,1.47,5.1,1.4,0.9,6.4,91.5,Elite Safe (Top 15%),1163.51,799.12,364.39,31.3,0,0.0
DRV-1155,Safe Commuter,60,29196.0,11252.0,0.9,1.14,3.2,1.2,0.3,2.5,99.2,Elite Safe (Top 15%),1327.33,937.79,389.54,29.3,0,0.0
DRV-1156,Night Shift Worker,47,32212.0,14775.0,1.52,1.61,6.5,1.6,1.16,45.0,84.4,Low Risk (Preferred),1414.92,1245.4,169.52,12.0,0,0.0
DRV-1157,Night Shift Worker,32,42849.0,12640.0,2.18,1.2,9.0,3.0,1.36,45.1,77.8,Low Risk (Preferred),1703.26,1507.81,195.45,11.5,0,0.0
DRV-1158,Distracted Urbanite,30,44163.0,12374.0,3.55,3.26,9.1,10.3,3.27,17.0,54.3,Elevated Risk (Substandard),1737.03,1822.3,-85.27,-4.9,0,0.0
DRV-1159,Night Shift Worker,40,36871.0,15835.0,2.45,1.93,6.9,2.9,1.7,40.1,76.3,Low Risk (Preferred),1544.78,1493.85,50.93,3.3,0,0.0
DRV-1160,Distracted Urbanite,25,30389.0,14108.0,4.3,3.82,15.0,8.5,3.6,12.2,50.3,Elevated Risk (Substandard),1362.34,1536.29,-173.95,-12.8,0,0.0
DRV-1161,Low-Mileage Weekend Driver,62,33764.0,6555.0,1.83,0.67,2.6,1.2,0.83,7.0,95.1,Elite Safe (Top 15%),1458.87,1000.56,458.31,31.4,0,0.0
DRV-1162,Safe Commuter,62,23768.0,10712.0,0.69,1.09,3.5,1.2,0.75,5.1,98.7,Elite Safe (Top 15%),1161.22,814.06,347.16,29.9,0,0.0
DRV-1163,Night Shift Worker,38,34815.0,15707.0,2.77,1.93,7.5,2.9,1.59,49.4,74.8,Moderate Risk (Standard),1488.22,1452.9,35.32,2.4,0,0.0
DRV-1164,Distracted Urbanite,30,26714.0,10609.0,5.73,3.37,17.8,13.5,4.89,16.0,33.2,High Risk (Non-Standard),1252.85,1432.31,-179.46,-14.3,0,0.0
DRV-1165,Distracted Urbanite,32,26149.0,14620.0,5.66,4.22,10.1,13.6,3.18,13.6,41.6,High Risk (Non-Standard),1235.57,1495.1,-259.53,-21.0,1,6472.13
DRV-1166,Safe Commuter,31,41123.0,12349.0,0.88,0.97,1.2,0.9,0.77,2.5,100.0,Elite Safe (Top 15%),1658.35,1192.02,466.33,28.1,1,4157.02
DRV-1167,Aggressive Speedster,25,19775.0,19223.0,8.02,5.66,37.0,8.5,4.58,19.9,29.1,High Risk (Non-Standard),1030.38,1508.16,-477.78,-46.4,0,0.0
DRV-1168,Night Shift Worker,38,45589.0,13676.0,2.36,2.12,8.6,1.9,2.06,40.3,76.2,Low Risk (Preferred),1773.29,1631.26,142.03,8.0,0,0.0
DRV-1169,Low-Mileage Weekend Driver,63,45854.0,4152.0,1.85,1.65,3.2,0.9,0.8,6.6,94.2,Elite Safe (Top 15%),1779.98,1203.76,576.22,32.4,0,0.0
DRV-1170,Low-Mileage Weekend Driver,66,39934.0,5335.0,2.04,0.76,4.0,1.3,1.31,5.0,93.2,Elite Safe (Top 15%),1627.02,1112.07,514.95,31.6,0,0.0
DRV-1171,Distracted Urbanite,21,42810.0,13683.0,6.11,3.81,15.6,8.4,4.64,17.0,39.5,High Risk (Non-Standard),2298.04,2750.73,-452.69,-19.7,0,0.0
DRV-1172,Safe Commuter,34,46621.0,9924.0,0.45,0.69,1.9,0.6,0.39,5.8,99.3,Elite Safe (Top 15%),1799.28,1232.36,566.92,31.5,0,0.0
DRV-1173,Distracted Urbanite,21,45693.0,11308.0,4.69,3.04,14.7,10.7,2.9,14.9,46.9,Elevated Risk (Substandard),2397.49,2567.79,-170.3,-7.1,0,0.0
DRV-1174,Distracted Urbanite,24,47665.0,13194.0,6.6,3.35,10.2,14.7,3.7,12.5,41.3,High Risk (Non-Standard),2464.24,2878.94,-414.7,-16.8,0,0.0
DRV-1175,Distracted Urbanite,36,33765.0,13787.0,6.15,4.4,15.6,12.4,3.99,15.9,33.4,High Risk (Non-Standard),1458.89,1818.42,-359.53,-24.6,0,0.0
DRV-1176,Low-Mileage Weekend Driver,68,31255.0,3893.0,1.96,1.68,2.8,1.7,0.66,8.1,92.0,Elite Safe (Top 15%),1387.45,952.55,434.9,31.3,0,0.0
DRV-1177,Distracted Urbanite,36,31871.0,10455.0,5.18,4.36,12.5,11.1,3.64,8.6,44.1,High Risk (Non-Standard),1405.17,1496.11,-90.94,-6.5,0,0.0
DRV-1178,Distracted Urbanite,33,19808.0,11272.0,3.51,3.0,8.7,10.4,4.25,13.4,54.6,Elevated Risk (Substandard),1031.49,1048.52,-17.03,-1.7,0,0.0
DRV-1179,Aggressive Speedster,26,47786.0,14254.0,6.14,6.69,39.6,9.9,5.54,22.1,24.9,High Risk (Non-Standard),1828.38,2426.55,-598.17,-32.7,0,0.0
DRV-1180,Aggressive Speedster,25,34118.0,17005.0,7.23,6.32,34.4,7.9,4.74,18.0,30.6,High Risk (Non-Standard),1468.79,2020.71,-551.92,-37.6,0,0.0
DRV-1181,Distracted Urbanite,28,24890.0,14174.0,6.0,4.75,12.6,12.8,3.56,11.8,37.3,High Risk (Non-Standard),1196.57,1470.9,-274.33,-22.9,0,0.0
DRV-1182,Safe Commuter,40,18469.0,13687.0,1.1,0.5,3.8,0.9,0.81,6.4,98.1,Elite Safe (Top 15%),985.62,744.02,241.6,24.5,0,0.0
DRV-1183,Safe Commuter,30,40632.0,11232.0,1.04,1.18,1.9,0.3,0.55,4.7,99.2,Elite Safe (Top 15%),1645.45,1162.0,483.45,29.4,0,0.0
DRV-1184,Safe Commuter,46,44288.0,10171.0,1.31,0.92,3.0,1.4,0.85,3.2,97.9,Elite Safe (Top 15%),1740.23,1213.65,526.58,30.3,0,0.0
DRV-1185,Low-Mileage Weekend Driver,58,32869.0,4552.0,0.89,1.74,5.5,2.3,1.13,5.6,93.1,Elite Safe (Top 15%),1433.61,969.8,463.81,32.4,0,0.0
DRV-1186,Aggressive Speedster,29,25229.0,17049.0,6.6,6.44,31.4,5.8,4.3,24.1,32.9,High Risk (Non-Standard),1207.13,1639.23,-432.1,-35.8,0,0.0
DRV-1187,Aggressive Speedster,21,24100.0,20446.0,8.16,5.97,44.3,7.3,4.16,19.1,32.4,High Risk (Non-Standard),1581.85,2332.85,-751.0,-47.5,0,0.0
DRV-1188,Aggressive Speedster,32,20184.0,16969.0,6.64,6.9,23.2,6.3,5.43,15.7,35.2,High Risk (Non-Standard),1044.18,1395.1,-350.92,-33.6,0,0.0
DRV-1189,Night Shift Worker,37,21519.0,13397.0,2.59,1.4,8.8,1.5,2.12,63.9,77.2,Low Risk (Preferred),1088.57,986.5,102.07,9.4,0,0.0
DRV-1190,Low-Mileage Weekend Driver,47,37462.0,5935.0,1.79,1.08,3.0,1.3,0.78,5.8,95.4,Elite Safe (Top 15%),1560.83,1060.72,500.11,32.0,0,0.0
DRV-1191,Low-Mileage Weekend Driver,63,19371.0,5131.0,1.92,1.47,5.0,1.3,0.7,4.9,93.0,Elite Safe (Top 15%),1016.64,693.71,322.93,31.8,0,0.0
DRV-1192,Distracted Urbanite,21,43001.0,11304.0,6.58,3.83,12.2,8.2,3.32,11.8,46.8,Elevated Risk (Substandard),2304.7,2469.74,-165.04,-7.2,0,0.0
DRV-1193,Night Shift Worker,45,23078.0,12287.0,2.51,2.16,7.2,2.5,1.2,58.8,77.1,Low Risk (Preferred),1139.2,1005.45,133.75,11.7,0,0.0
DRV-1194,Low-Mileage Weekend Driver,66,18192.0,6966.0,2.14,1.23,5.4,0.9,1.32,3.3,92.2,Elite Safe (Top 15%),975.98,686.51,289.47,29.7,0,0.0
DRV-1195,Night Shift Worker,28,32496.0,14536.0,1.21,1.61,5.9,2.7,1.8,53.5,82.8,Low Risk (Preferred),1423.02,1263.34,159.68,11.2,0,0.0
DRV-1196,Safe Commuter,54,42185.0,9059.0,0.88,0.65,4.4,0.2,0.85,5.4,98.4,Elite Safe (Top 15%),1686.06,1156.3,529.76,31.4,0,0.0
DRV-1197,Safe Commuter,34,46779.0,11622.0,0.57,0.96,1.9,0.8,0.84,2.4,99.9,Elite Safe (Top 15%),1803.24,1276.13,527.11,29.2,0,0.0
DRV-1198,Safe Commuter,42,29315.0,10500.0,1.21,0.47,4.5,1.2,0.23,4.0,97.7,Elite Safe (Top 15%),1330.85,937.28,393.57,29.6,0,0.0
DRV-1199,Night Shift Worker,34,45575.0,11413.0,2.55,1.77,5.7,3.5,2.17,61.8,75.1,Low Risk (Preferred),1772.93,1555.47,217.46,12.3,0,0.0
DRV-1200,Aggressive Speedster,30,18987.0,21100.0,6.4,4.16,23.7,9.6,6.23,24.6,27.1,High Risk (Non-Standard),1003.5,1551.67,-548.17,-54.6,0,0.0
DRV-1201,Safe Commuter,41,43040.0,11935.0,1.13,1.04,2.4,0.3,0.33,3.2,99.4,Elite Safe (Top 15%),1708.19,1223.63,484.56,28.4,0,0.0
DRV-1202,Aggressive Speedster,24,20931.0,17071.0,7.46,6.77,37.9,4.5,5.81,20.9,35.2,High Risk (Non-Standard),1443.34,1933.18,-489.84,-33.9,0,0.0
DRV-1203,Safe Commuter,53,29263.0,13845.0,0.66,0.97,3.7,0.9,0.38,4.8,99.2,Elite Safe (Top 15%),1329.31,995.89,333.42,25.1,0,0.0
DRV-1204,Night Shift Worker,48,37017.0,11428.0,2.19,1.96,7.6,1.7,1.19,56.4,80.0,Low Risk (Preferred),1548.75,1306.32,242.43,15.7,0,0.0
DRV-1205,Safe Commuter,34,34710.0,9458.0,1.34,0.8,3.7,0.4,0.27,4.2,98.1,Elite Safe (Top 15%),1485.31,1024.79,460.52,31.0,0,0.0
DRV-1206,Safe Commuter,33,20541.0,10770.0,0.4,0.94,2.1,0.8,0.43,3.9,100.0,Elite Safe (Top 15%),1056.15,732.06,324.09,30.7,0,0.0
DRV-1207,Aggressive Speedster,22,31040.0,18576.0,5.18,5.33,25.2,5.8,5.13,16.1,37.9,High Risk (Non-Standard),1864.67,2544.42,-679.75,-36.5,0,0.0
DRV-1208,Low-Mileage Weekend Driver,36,18203.0,4764.0,2.12,1.47,4.0,1.8,0.96,3.8,92.1,Elite Safe (Top 15%),976.37,666.08,310.29,31.8,0,0.0
DRV-1209,Distracted Urbanite,33,27620.0,14020.0,4.59,3.27,16.2,13.9,4.94,9.4,41.6,High Risk (Non-Standard),1280.31,1525.54,-245.23,-19.2,0,0.0
DRV-1210,Safe Commuter,48,27777.0,9888.0,0.74,0.69,3.6,1.2,0.97,5.9,98.2,Elite Safe (Top 15%),1285.04,889.24,395.8,30.8,0,0.0
DRV-1211,Distracted Urbanite,32,31849.0,10569.0,5.36,3.86,13.5,12.5,3.88,17.5,38.2,High Risk (Non-Standard),1404.53,1556.34,-151.81,-10.8,0,0.0
DRV-1212,Low-Mileage Weekend Driver,50,25580.0,6409.0,0.9,1.62,5.2,1.9,0.64,4.8,95.2,Elite Safe (Top 15%),1218.02,833.35,384.67,31.6,0,0.0
DRV-1213,Low-Mileage Weekend Driver,56,34309.0,3759.0,2.19,1.18,3.6,1.7,1.42,7.2,90.8,Elite Safe (Top 15%),1474.13,1020.05,454.08,30.8,0,0.0
DRV-1214,Low-Mileage Weekend Driver,66,34897.0,5578.0,2.08,0.73,3.0,1.9,0.67,6.7,93.0,Elite Safe (Top 15%),1490.5,1023.23,467.27,31.3,0,0.0
DRV-1215,Night Shift Worker,45,35257.0,15829.0,1.89,1.01,5.3,2.5,1.62,52.4,82.5,Low Risk (Preferred),1500.48,1375.62,124.86,8.3,0,0.0
DRV-1216,Low-Mileage Weekend Driver,64,39905.0,4028.0,2.2,1.18,3.2,2.4,0.59,8.0,90.6,Elite Safe (Top 15%),1626.25,1121.55,504.7,31.0,0,0.0
DRV-1217,Safe Commuter,41,39323.0,11606.0,0.68,0.49,3.5,0.9,0.25,2.2,99.6,Elite Safe (Top 15%),1610.8,1142.92,467.88,29.0,1,2564.8
DRV-1218,Safe Commuter,38,41933.0,13650.0,1.11,0.86,2.9,0.7,0.54,4.3,99.4,Elite Safe (Top 15%),1679.51,1250.33,429.18,25.6,0,0.0
DRV-1219,Safe Commuter,55,26350.0,10978.0,1.11,1.19,2.6,0.9,0.2,3.1,99.2,Elite Safe (Top 15%),1241.73,871.71,370.02,29.8,0,0.0
DRV-1220,Distracted Urbanite,24,46977.0,13998.0,5.27,3.34,10.0,7.9,4.18,12.9,50.8,Elevated Risk (Substandard),2441.07,2735.75,-294.68,-12.1,0,0.0
DRV-1221,Low-Mileage Weekend Driver,57,36435.0,5555.0,1.29,1.61,4.5,2.2,1.21,4.8,93.3,Elite Safe (Top 15%),1532.88,1050.22,482.66,31.5,0,0.0
DRV-1222,Safe Commuter,35,30691.0,10193.0,0.43,0.74,1.5,0.8,0.68,4.9,99.7,Elite Safe (Top 15%),1371.13,940.27,430.86,31.4,0,0.0
DRV-1223,Low-Mileage Weekend Driver,43,18288.0,5442.0,1.49,0.77,3.3,1.6,0.55,5.2,96.3,Elite Safe (Top 15%),979.33,657.95,321.38,32.8,0,0.0
DRV-1224,Distracted Urbanite,38,18926.0,12527.0,5.13,4.07,12.2,13.7,3.72,8.8,43.3,High Risk (Non-Standard),1001.4,1134.73,-133.33,-13.3,0,0.0
DRV-1225,Safe Commuter,45,35181.0,10124.0,0.62,1.1,3.0,1.4,0.6,4.6,98.8,Elite Safe (Top 15%),1498.38,1034.82,463.56,30.9,0,0.0
DRV-1226,Low-Mileage Weekend Driver,55,37610.0,5397.0,1.86,1.51,3.8,1.2,0.93,7.4,93.1,Elite Safe (Top 15%),1564.83,1070.91,493.92,31.6,0,0.0
DRV-1227,Aggressive Speedster,19,42321.0,17598.0,5.89,6.86,32.1,10.0,5.89,19.0,26.4,High Risk (Non-Standard),2787.83,3990.77,-1202.94,-43.1,0,0.0
DRV-1228,Low-Mileage Weekend Driver,59,34163.0,4081.0,0.99,0.85,2.8,0.9,0.85,4.7,99.6,Elite Safe (Top 15%),1470.05,968.65,501.4,34.1,0,0.0
DRV-1229,Distracted Urbanite,30,30348.0,12864.0,6.64,3.68,17.0,13.5,2.84,15.5,36.2,High Risk (Non-Standard),1361.15,1627.28,-266.13,-19.6,1,2164.13
DRV-1230,Night Shift Worker,32,26062.0,12248.0,2.34,1.99,7.8,2.9,1.59,52.3,76.2,Low Risk (Preferred),1232.89,1095.06,137.83,11.2,0,0.0
DRV-1231,Low-Mileage Weekend Driver,37,44067.0,4910.0,1.85,1.43,5.5,1.6,0.99,6.5,91.5,Elite Safe (Top 15%),1734.58,1189.61,544.97,31.4,0,0.0
DRV-1232,Safe Commuter,57,32841.0,12174.0,1.07,1.17,3.8,0.8,0.97,6.1,97.7,Elite Safe (Top 15%),1432.82,1049.45,383.37,26.8,0,0.0
DRV-1233,Safe Commuter,36,31787.0,11831.0,0.83,0.71,3.4,0.3,0.28,5.9,99.0,Elite Safe (Top 15%),1402.76,1006.43,396.33,28.3,0,0.0
DRV-1234,Aggressive Speedster,26,44233.0,17652.0,8.47,5.5,44.9,9.5,6.18,20.1,26.4,High Risk (Non-Standard),1738.82,2492.37,-753.55,-43.3,0,0.0
DRV-1235,Safe Commuter,51,25024.0,10252.0,0.71,1.21,1.6,0.8,0.44,5.5,99.0,Elite Safe (Top 15%),1200.75,830.21,370.54,30.9,0,0.0
DRV-1236,Distracted Urbanite,21,21618.0,11067.0,3.76,3.87,13.2,10.6,2.52,11.4,52.3,Elevated Risk (Substandard),1473.95,1513.3,-39.35,-2.7,0,0.0
DRV-1237,Night Shift Worker,54,41204.0,11354.0,1.81,1.88,4.5,2.1,2.06,39.1,81.5,Low Risk (Preferred),1660.47,1380.6,279.87,16.9,0,0.0
DRV-1238,Safe Commuter,37,45597.0,9342.0,0.92,0.95,1.6,0.8,0.37,5.7,99.4,Elite Safe (Top 15%),1773.49,1208.0,565.49,31.9,0,0.0
DRV-1239,Low-Mileage Weekend Driver,45,22195.0,3803.0,0.94,1.5,4.4,1.5,1.46,4.9,95.5,Elite Safe (Top 15%),1110.67,751.04,359.63,32.4,0,0.0
DRV-1240,Safe Commuter,46,40435.0,12895.0,1.06,1.16,3.3,0.7,0.61,4.5,99.0,Elite Safe (Top 15%),1640.26,1205.62,434.64,26.5,0,0.0
DRV-1241,Safe Commuter,43,46018.0,11474.0,0.42,0.85,3.1,1.0,0.98,6.9,98.5,Elite Safe (Top 15%),1784.12,1275.77,508.35,28.5,0,0.0
DRV-1242,Aggressive Speedster,28,18414.0,17367.0,6.69,4.6,32.8,9.9,4.0,25.0,26.5,High Risk (Non-Standard),983.71,1399.47,-415.76,-42.3,0,0.0
DRV-1243,Aggressive Speedster,31,34130.0,17184.0,5.65,6.49,39.6,6.5,4.89,25.9,31.6,High Risk (Non-Standard),1469.13,2017.65,-548.52,-37.3,1,1166.66
DRV-1244,Safe Commuter,41,27305.0,13872.0,0.47,0.69,3.1,1.4,0.72,5.2,98.7,Elite Safe (Top 15%),1270.8,957.44,313.36,24.7,0,0.0
DRV-1245,Aggressive Speedster,22,40220.0,14463.0,4.84,5.52,32.4,7.7,4.64,27.6,33.1,High Risk (Non-Standard),2206.69,2804.71,-598.02,-27.1,1,5968.78
DRV-1246,Distracted Urbanite,26,44204.0,12482.0,4.64,3.69,16.2,9.1,3.43,15.5,46.3,Elevated Risk (Substandard),1738.08,1929.34,-191.26,-11.0,0,0.0
DRV-1247,Safe Commuter,29,33323.0,10675.0,0.77,0.87,1.9,1.8,0.7,4.5,98.4,Elite Safe (Top 15%),1446.45,1016.08,430.37,29.8,0,0.0
DRV-1248,Aggressive Speedster,21,19321.0,16942.0,5.52,4.36,35.2,8.3,4.42,23.7,31.5,High Risk (Non-Standard),1370.17,1871.83,-501.66,-36.6,0,0.0
DRV-1249,Safe Commuter,58,37671.0,10820.0,1.31,0.56,4.4,0.3,0.84,5.6,97.1,Elite Safe (Top 15%),1566.48,1118.09,448.39,28.6,0,0.0
DRV-1250,Safe Commuter,48,47442.0,10356.0,0.39,0.74,2.8,1.6,0.34,6.0,98.1,Elite Safe (Top 15%),1819.81,1272.35,547.46,30.1,0,0.0
DRV-1251,Safe Commuter,57,41535.0,13330.0,1.15,0.68,1.3,0.9,0.5,3.5,99.4,Elite Safe (Top 15%),1669.13,1233.84,435.29,26.1,0,0.0
DRV-1252,Safe Commuter,51,18191.0,11958.0,0.84,1.1,1.7,1.6,0.81,3.2,98.7,Elite Safe (Top 15%),975.95,704.33,271.62,27.8,0,0.0
DRV-1253,Safe Commuter,50,27225.0,12180.0,1.06,0.41,2.2,1.4,0.5,5.7,98.4,Elite Safe (Top 15%),1268.38,922.77,345.61,27.2,0,0.0
DRV-1254,Aggressive Speedster,25,33593.0,17936.0,4.74,7.49,38.4,4.6,6.29,30.3,38.5,High Risk (Non-Standard),1454.06,1947.04,-492.98,-33.9,0,0.0
DRV-1255,Low-Mileage Weekend Driver,37,21921.0,5533.0,1.51,1.36,3.6,1.8,0.56,7.0,94.2,Elite Safe (Top 15%),1101.74,750.46,351.28,31.9,0,0.0
DRV-1256,Aggressive Speedster,31,41104.0,17144.0,7.83,5.14,32.4,5.4,6.35,17.3,34.9,High Risk (Non-Standard),1657.85,2228.6,-570.75,-34.4,1,1269.0
DRV-1257,Low-Mileage Weekend Driver,52,22728.0,4923.0,1.55,1.76,2.8,1.3,0.77,3.7,95.7,Elite Safe (Top 15%),1127.94,755.89,372.05,33.0,0,0.0
DRV-1258,Distracted Urbanite,22,26965.0,11075.0,6.33,2.84,15.1,14.7,3.49,8.5,40.7,High Risk (Non-Standard),1701.67,1883.57,-181.9,-10.7,0,0.0
DRV-1259,Safe Commuter,53,19850.0,13273.0,0.91,0.9,1.3,0.4,0.84,2.6,99.9,Elite Safe (Top 15%),1032.91,758.73,274.18,26.5,0,0.0
DRV-1260,Safe Commuter,40,18654.0,13118.0,0.71,0.97,3.3,1.1,0.41,6.1,98.8,Elite Safe (Top 15%),992.02,734.27,257.75,26.0,0,0.0
DRV-1261,Aggressive Speedster,26,45724.0,20474.0,4.87,6.97,40.6,4.7,6.34,15.9,41.3,High Risk (Non-Standard),1776.7,2475.69,-698.99,-39.3,0,0.0
DRV-1262,Distracted Urbanite,36,19039.0,10147.0,5.75,2.9,10.1,8.5,3.2,16.8,49.0,Elevated Risk (Substandard),1005.28,1028.16,-22.88,-2.3,0,0.0
DRV-1263,Safe Commuter,46,41916.0,11494.0,1.27,0.83,1.3,0.8,0.54,5.2,98.5,Elite Safe (Top 15%),1679.06,1201.2,477.86,28.5,0,0.0
DRV-1264,Aggressive Speedster,27,33072.0,20359.0,8.46,6.74,30.3,7.3,5.11,30.5,28.5,High Risk (Non-Standard),1439.36,2170.29,-730.93,-50.8,0,0.0
DRV-1265,Safe Commuter,48,35520.0,11986.0,0.33,1.13,2.0,1.5,0.58,3.8,98.8,Elite Safe (Top 15%),1507.74,1087.75,419.99,27.9,0,0.0
DRV-1266,Safe Commuter,43,43395.0,12284.0,0.59,1.13,4.2,0.3,1.0,3.1,98.5,Elite Safe (Top 15%),1717.34,1251.14,466.2,27.1,0,0.0
DRV-1267,Low-Mileage Weekend Driver,43,46427.0,4116.0,1.63,1.57,4.8,2.4,0.53,7.2,91.3,Elite Safe (Top 15%),1794.41,1231.6,562.81,31.4,0,0.0
DRV-1268,Night Shift Worker,36,36050.0,15183.0,2.5,2.16,6.7,1.9,1.05,36.7,78.9,Low Risk (Preferred),1522.33,1418.78,103.55,6.8,1,3530.28
DRV-1269,Safe Commuter,40,39141.0,13032.0,0.67,0.56,3.8,1.6,0.25,2.7,98.3,Elite Safe (Top 15%),1605.95,1192.33,413.62,25.8,0,0.0
DRV-1270,Safe Commuter,61,22094.0,13303.0,1.36,0.74,4.3,0.8,0.28,3.5,97.6,Elite Safe (Top 15%),1107.38,832.95,274.43,24.8,0,0.0
DRV-1271,Aggressive Speedster,31,28705.0,19114.0,6.45,5.11,38.3,7.4,6.2,25.4,28.4,High Risk (Non-Standard),1312.78,1924.82,-612.04,-46.6,0,0.0
DRV-1272,Distracted Urbanite,33,47828.0,11534.0,5.77,2.79,15.3,14.6,4.87,11.9,37.6,High Risk (Non-Standard),1829.42,2090.81,-261.39,-14.3,0,0.0
DRV-1273,Safe Commuter,48,25140.0,13605.0,1.36,0.6,3.0,1.7,0.31,5.7,96.6,Elite Safe (Top 15%),1204.36,921.09,283.27,23.5,0,0.0
DRV-1274,Safe Commuter,33,28514.0,13108.0,1.04,1.06,2.2,0.2,0.37,5.5,99.1,Elite Safe (Top 15%),1307.1,964.37,342.73,26.2,0,0.0
DRV-1275,Distracted Urbanite,22,21043.0,11930.0,5.92,4.73,16.8,10.9,3.45,13.5,36.2,High Risk (Non-Standard),1448.35,1687.97,-239.62,-16.5,0,0.0
DRV-1276,Aggressive Speedster,29,21142.0,20066.0,5.4,5.58,40.4,4.2,3.85,19.4,40.9,High Risk (Non-Standard),1076.13,1489.86,-413.73,-38.4,0,0.0
DRV-1277,Aggressive Speedster,21,18930.0,19856.0,6.69,7.14,24.1,7.6,5.46,23.2,29.3,High Risk (Non-Standard),1352.08,2005.64,-653.56,-48.3,0,0.0
DRV-1278,Safe Commuter,55,25958.0,9786.0,0.41,0.58,1.7,1.3,0.78,5.6,98.8,Elite Safe (Top 15%),1229.69,845.38,384.31,31.3,0,0.0
DRV-1279,Safe Commuter,31,36753.0,10965.0,0.9,0.84,1.2,0.2,0.27,6.1,99.2,Elite Safe (Top 15%),1541.56,1081.87,459.69,29.8,0,0.0
DRV-1280,Safe Commuter,41,37831.0,9854.0,0.62,0.47,4.0,0.7,0.52,4.4,99.1,Elite Safe (Top 15%),1570.8,1077.18,493.62,31.4,0,0.0
DRV-1281,Low-Mileage Weekend Driver,43,34927.0,4799.0,1.33,0.82,2.2,1.5,0.76,8.0,96.2,Elite Safe (Top 15%),1491.33,995.23,496.1,33.3,0,0.0
DRV-1282,Night Shift Worker,30,42552.0,11429.0,1.75,1.65,8.9,2.7,1.66,60.2,78.7,Low Risk (Preferred),1695.58,1445.6,249.98,14.7,0,0.0
DRV-1283,Low-Mileage Weekend Driver,62,33505.0,5505.0,1.13,0.96,3.6,2.3,0.53,6.4,95.8,Elite Safe (Top 15%),1451.58,978.95,472.63,32.6,0,0.0
DRV-1284,Aggressive Speedster,21,30701.0,14962.0,7.53,4.61,44.6,9.8,5.98,17.1,27.8,High Risk (Non-Standard),1851.41,2460.8,-609.39,-32.9,0,0.0
DRV-1285,Low-Mileage Weekend Driver,41,27784.0,6419.0,1.16,1.69,5.7,0.9,0.89,5.4,95.3,Elite Safe (Top 15%),1285.25,879.0,406.25,31.6,0,0.0
DRV-1286,Low-Mileage Weekend Driver,32,40751.0,6253.0,1.67,1.23,3.7,1.5,0.65,6.5,94.5,Elite Safe (Top 15%),1648.58,1131.08,517.5,31.4,0,0.0
DRV-1287,Aggressive Speedster,28,35161.0,20236.0,7.64,7.04,42.2,9.3,4.51,26.1,25.8,High Risk (Non-Standard),1497.82,2289.29,-791.47,-52.8,0,0.0
DRV-1288,Safe Commuter,53,40372.0,9719.0,0.97,1.02,1.1,1.6,0.47,3.2,98.9,Elite Safe (Top 15%),1638.6,1124.7,513.9,31.4,0,0.0
DRV-1289,Aggressive Speedster,19,24839.0,16703.0,7.67,5.09,41.4,9.1,5.65,31.5,25.3,High Risk (Non-Standard),1971.7,2779.34,-807.64,-41.0,0,0.0
DRV-1290,Distracted Urbanite,31,40785.0,11347.0,4.88,3.98,9.9,8.7,4.56,15.4,48.0,Elevated Risk (Substandard),1649.47,1755.9,-106.43,-6.5,0,0.0
DRV-1291,Distracted Urbanite,37,23212.0,13957.0,3.72,4.13,12.0,13.2,3.81,13.7,46.9,Elevated Risk (Substandard),1143.49,1314.15,-170.66,-14.9,0,0.0
DRV-1292,Safe Commuter,31,37062.0,10247.0,0.8,1.23,3.5,0.6,0.86,4.5,98.9,Elite Safe (Top 15%),1549.97,1072.57,477.4,30.8,0,0.0
DRV-1293,Safe Commuter,51,25760.0,11444.0,0.79,1.26,2.7,1.1,0.48,6.2,98.5,Elite Safe (Top 15%),1223.59,874.34,349.25,28.5,0,0.0
